certificate_number,value,status
95AB 484424,None,False
95AB 484424,None,False
95AB 484424,None,False
95AB 484424,None,False
95AB 484424,None,False
95AB 484424,None,False
95AB 484424,None,False
95AB 484424,None,False
95AB 484424,None,False
95AB 484424,None,False
95AB 484424,None,False
95AB 484424,None,False
95AB 484424,None,False
95AB 484424,None,False
95AB 484424,None,False
95AB 484424,None,False
95AB 484424,None,False
95AB 484424,None,False
95AB 484424,None,False
95AB 484424,None,False
95AB 484424,None,False
95AB 484424,None,False
95AB 484424,None,False
95AB 484424,None,False
95AB 484424,None,False
95AB 484424,None,False
95AB 484424,None,False
95AB 484424,None,False
95AB 484424,None,False
95AB 484424,None,False
95AB 484424,None,False
95AB 484424,None,False
95AB 484424,None,False
95AB 484424,None,False
95AB 484424,None,False
95AB 484424,None,False
95AB 484424,None,False
95AB 484424,None,False
95AB 484424,None,False
95AB 484424,None,False
95AB 484424,None,False
95AB 484424,None,False
95AB 484424,None,False
95AB 484424,None,False
95AB 484424,None,False
95AB 484424,None,False
95AB 484424,None,False
95AB 484424,None,False
95AB 484424,None,False
95AB 484424,None,False
95AB 484424,None,False
95AB 484424,None,False
95AB 484424,None,False
95AB 484424,None,False
95AB 484424,None,False
95AB 484424,None,False
95AB 484424,None,False
95AB 484424,None,False
95AB 484424,None,False
95AB 484424,None,False
95AB 484424,None,False
95AB 484424,None,False
95AB 484424,None,False
95AB 484424,None,False
95AB 484424,None,False
95AB 484424,None,False
95AB 484424,None,False
95AB 484424,None,False
95AB 484424,None,False
95AB 484424,None,False
95AB 484424,None,False
95AB 484424,None,False
95AB 484424,None,False
95AB 484424,None,False
95AB 484424,None,False
95AB 484424,None,False
95AB 484424,None,False
95AB 484424,None,False
95AB 484424,None,False
95AB 484424,None,False
95AB 484424,None,False
95AB 484424,None,False
95AB 484424,None,False
95AB 484424,None,False
95AB 484424,None,False
95AB 484424,None,False
95AB 484424,None,False
95AB 484424,None,False
95AB 484424,None,False
95AB 484424,None,False
95AB 484424,None,False
95AB 484424,None,False
95AB 484424,None,False
95AB 484424,None,False
95AB 484424,None,False
95AB 484424,None,False
95AB 484424,None,False
95AB 484424,None,False
95AB 484424,None,False
95AB 484424,None,False
95AB 484424,None,False
95AB 484424,None,False
95AB 484424,None,False
95AB 484424,None,False
95AB 484424,None,False
95AB 484424,None,False
95AB 484424,None,False
95AB 484424,None,False
95AB 484424,None,False
95AB 484424,None,False
95AB 484424,None,False
95AB 484424,None,False
95AB 484424,None,False
95AB 484424,None,False
95AB 484424,None,False
95AB 484424,None,False
95AB 484424,None,False
95AB 484424,None,False
95AB 484424,None,False
95AB 484424,None,False
95AB 484424,None,False
95AB 484424,None,False
95AB 484424,None,False
95AB 484424,None,False
95AB 484424,None,False
95AB 484424,None,False
95AB 484424,None,False
95AB 484424,None,False
95AB 484424,None,False
95AB 484424,None,False
95AB 484424,None,False
95AB 484424,None,False
95AB 484424,None,False
95AB 484424,None,False
95AB 484424,None,False
95AB 484424,None,False
95AB 484424,None,False
95AB 484424,None,False
95AB 484424,None,False
95AB 484424,None,False
95AB 484424,None,False
95AB 484424,None,False
95AB 484424,None,False
95AB 484424,None,False
95AB 484424,None,False
95AB 484424,None,False
95AB 484424,None,False
95AB 484424,None,False
95AB 484424,None,False
95AB 484424,None,False
95AB 484424,None,False
95AB 484424,None,False
95AB 484424,None,False
95AB 484424,None,False
95AB 484424,None,False
95AB 484424,None,False
95AB 484424,None,False
95AB 484424,None,False
95AB 484424,None,False
95AB 484424,None,False
95AB 484424,None,False
95AB 484424,None,False
95AB 484424,None,False
95AB 484424,None,False
95AB 484424,None,False
95AB 484424,None,False
95AB 484424,None,False
95AB 484424,None,False
95AB 484424,None,False
95AB 484424,None,False
95AB 484424,None,False
95AB 484424,None,False
95AB 484424,None,False
95AB 484424,None,False
95AB 484424,None,False
95AB 484424,None,False
95AB 484424,None,False
95AB 484424,None,False
95AB 484424,None,False
95AB 484424,None,False
95AB 484424,None,False
95AB 484424,None,False
